title,category1,rank,S_scale,S_score
আগামী নির্বাচনেও নৌকাকে বিজয়ী করতে হবে: মাশরাফি,রাজনীতি,1.0,1.0,20.0
মোস্তাফিজুর রহমান ফিজারই তাহলে পরবর্তী রাষ্ট্রপতি?,রাজনীতি,1.0,1.0,20.0
রাষ্ট্রপতি পদের মনোনয়নপত্র নিয়ে নির্বাচন ভবনে আওয়ামী লীগের প্রতিনিধি দল,রাজনীতি,1.0,1.0,20.0
ধর্মভিত্তিক রাজনীতির কাছে আত্মসমর্পণ করেছে সরকার: ওয়ার্কার্স পার্টি,রাজনীতি,1.0,1.0,20.0
"আমরা জনগণের শান্তির জন্য রাজপথে থাকি, শান্তি সমাবেশ করি: শেখ পরশ",রাজনীতি,1.0,1.0,20.0
"সাত্তার ভূঁইয়া জীবনের শেষে এসে বুঝতে পেরেছেন, বাংলাদেশের উন্নয়ন আওয়ামী লীগ দিয়েই হয়: আইনমন্ত্রী",রাজনীতি,1.0,1.0,20.0
"মোহাম্মদ সাহাবুদ্দিন: ছাত্ররাজনীতিক থেকে বিচারক, দুদকের কমিশনার, তারপর রাষ্ট্রপতি পদে",রাজনীতি,1.0,1.0,20.0
আওয়ামী লীগ দিশাহারা হয়ে বিশৃঙ্খলা করতে পাল্টা কর্মসূচি দিচ্ছে: বিএনপি,রাজনীতি,1.0,1.0,20.0
মোহাম্মদ সাহাবুদ্দিনকে ‘মন থেকে’ অভিনন্দন জানালেন জি এম কাদের,রাজনীতি,1.0,1.0,20.0
ছাত্রলীগের ২১ নেতাকর্মী বহিষ্কার,রাজনীতি,1.0,1.0,20.0
ইসলামী ব্যাংকের গ্রাহক সেবা ক্যাম্পেইন শুরু,অর্থনীতি,2.0,0.875,17.5
ঢাকায় লেবানন ভিসা আবেদন কেন্দ্র চালু,অর্থনীতি,2.0,0.875,17.5
হেরোইন ও ট্রাকসহ একজনকে গ্রেফতার করেছে ডিবি,আইন,3.0,0.75,15.0
লালমাই পাহাড় কাটা বিরত রাখার নির্দেশ হাইকোর্টের,আইন,3.0,0.75,15.0
রাজধানীতে হত্যা ও অপহরণ মামলায় দুই পলাতক আসামি গ্রেপ্তার,আইন,3.0,0.75,15.0
৫০ তালগাছে কীটনাশক প্রয়োগ: পরবর্তী শুনানি ও আদেশ ২৩ ফেব্রুয়ারি,আইন,3.0,0.75,15.0
বিমানবন্দর থানা এলাকা থেকে ৫ কেজি গাঁজাসহ গ্রেফতার ২,আইন,3.0,0.75,15.0
জবির সংগঠনগুলোকে সাংস্কৃতিক চর্চা বাড়াতে হবে: উপাচার্য,শিক্ষা,5.0,0.5,10.0
১২ দাবিতে ইডেন কলেজ ছাত্রলীগের স্মারকলিপি,শিক্ষা,5.0,0.5,10.0
জাবিতে গেস্টরুমে ৫ শিক্ষার্থীকে মারধর করল দুই ছাত্রলীগ,শিক্ষা,5.0,0.5,10.0
ষষ্ঠ ও সপ্তম শ্রেণির সেই দুই বই না পড়ানোর নির্দেশ,শিক্ষা,5.0,0.5,10.0
জবিতে নতুন তিন বিভাগের অনুমোদন,শিক্ষা,5.0,0.5,10.0
জ্ঞান অর্জনের জন্য প্রয়োজনে সুদূর চীনে যাও... যাবেন কীভাবে?,শিক্ষা,5.0,0.5,10.0
অপহরণে অভিযুক্ত সেই অসিত পালকে বহিষ্কার করল ছাত্রলীগ,শিক্ষা,5.0,0.5,10.0
ফিট থাকতে কী খাবেন?,লাইফস্টাইল,6.0,0.375,7.5
চোখের সমস্যায় ভুগছেন ঢাকার ২৪ শতাংশ মানুষ,লাইফস্টাইল,6.0,0.375,7.5
২৪ ঘণ্টায় ডেঙ্গু নিয়ে হাসপাতালে ভর্তি ১৪,লাইফস্টাইল,6.0,0.375,7.5
Coleman wins 60m crown at Millrose Games after Lyles DQ,খেলাধুলা,7.0,0.25,5.0
ফরচুন বরিশালকে বিদায় করে কোয়ালিফায়ারে রংপুর,খেলাধুলা,7.0,0.25,5.0
আরেকটু সময় না পাওয়ার আক্ষেপ শামীমের,খেলাধুলা,7.0,0.25,5.0
আজ মুখোমুখি হচ্ছে চিরপ্রতিদ্বন্দ্বী ভারত-পাকিস্তান,খেলাধুলা,7.0,0.25,5.0
"ভারত সফরে অস্ট্রেলিয়ার ভরাডুবি, যা বললেন ভন",খেলাধুলা,7.0,0.25,5.0
‘মলম বিতর্ক’ শাস্তি হলো ভারতীয় তারকার,খেলাধুলা,7.0,0.25,5.0
"ফের বিয়ে করবেন হার্দিক পান্ডিয়া, পাত্রী কে?",খেলাধুলা,7.0,0.25,5.0
"

বরিশালের বিপক্ষে ১৭১ রান করলেই কোয়ালিফায়ারে রংপুর
",খেলাধুলা,7.0,0.25,5.0
"

পগবার ফেরা এখনো নিশ্চিত নয়
",খেলাধুলা,7.0,0.25,5.0
"মাঠ ঠিক নেই, ধর্মশালা থেকে সরে গেল ভারত-অস্ট্রেলিয়া টেস্ট",খেলাধুলা,7.0,0.25,5.0
ভারতীয় দলে পক্ষপাতিত্বের অভিযোগ,খেলাধুলা,7.0,0.25,5.0
হোটেল রিল্যাক্সে পূর্ণিমা,বিনোদন,8.0,0.125,2.5
ইরানি তরুণীকে ধর্ষণের অভিযোগ রাখির স্বামীর বিরুদ্ধে,বিনোদন,8.0,0.125,2.5
"ওদের উদ্দেশ্য অসৎ, আমি মানসিকভাবে ভেঙে পড়েছি: প্রভা",বিনোদন,8.0,0.125,2.5
কেন আমির খানকে কটাক্ষ করলেন এই অভিনেত্রী,বিনোদন,8.0,0.125,2.5
দক্ষিণ আফ্রিকায় র‌্যাপ সংগীতশিল্পীকে গুলি করে হত্যা,বিনোদন,8.0,0.125,2.5
‘সাকিবের মতো’ হতে চান লিন্ডে,অন্যান্য,9.0,0.0,0.0
মির্জা ফখরুলকে পাকিস্তান চলে যেতে বললেন বঙ্গবীর কাদের সিদ্দিকী,অন্যান্য,9.0,0.0,0.0
"

পূবালী ব্যাংকের বার্ষিক ব্যবস্থাপক সম্মেলন
",অন্যান্য,9.0,0.0,0.0
Cyprus rivals woo swing voters in presidential run-off,অন্যান্য,9.0,0.0,0.0
"

আসিয়ান থেকে মিয়ানমারকে বাদ  দেয়া উচিত : আনোয়ার ইব্রাহিম
",অন্যান্য,9.0,0.0,0.0
Two PWs testify in actor Sohel Chowdhury murder case,অন্যান্য,9.0,0.0,0.0
সহপাঠীদের ক্লাস বর্জন,অন্যান্য,9.0,0.0,0.0
প্লে-অফ পর্বে দাম বাড়লো টিকিটের,অন্যান্য,9.0,0.0,0.0
‘কাঁঠালবাড়ীতে আন্তর্জাতিক মানের বঙ্গবন্ধু কনভেনশন সেন্টার নির্মাণ করা হবে’,অন্যান্য,9.0,0.0,0.0
"

 একবার  ধর  বললে  চৌদ্দগোষ্ঠীর কেউ থাকতে পারবে  না : শামীম ওসমান 
",অন্যান্য,9.0,0.0,0.0
ভারতের ৫৪ এলিজিবল ব্যাচেলরের নাম প্রকাশ,অন্যান্য,9.0,0.0,0.0
পুলিশের বীরত্বে দুর্বার গতিতে এগিয়ে যাচ্ছে দেশ: স্বরাষ্ট্রমন্ত্রী,অন্যান্য,9.0,0.0,0.0
President of Iran to visit China,অন্যান্য,9.0,0.0,0.0
ছোট পর্দায় আজকের খেলা,অন্যান্য,9.0,0.0,0.0
"

হিরোর হিরোইজমের পূর্বাপর
",অন্যান্য,9.0,0.0,0.0
"

আড়াইহাজারে সংঘর্ষের ঘটনায় বিএনপির ১২০ নেতাকর্মীর নামে মামলা
",জাতীয়,,,
"

পদযাত্রা কর্মসূচিতে অংশ নিতে জড়ো হচ্ছেন বিএনপি নেতাকর্মীরা
",জাতীয়,,,
গুরুত্বপূর্ণ সফরে চীন যাচ্ছেন ইরানের প্রেসিডেন্ট,আন্তর্জাতিক,,,
"

হৃদয় ছুঁয়ে যাওয়া আজারবাইজানের সেই যুবকের গল্প
",আন্তর্জাতিক,,,
"ভূমিকম্পেও থেমে নেই লুটপাট, তুরস্কে গ্রেফতার ৪৮",আন্তর্জাতিক,,,
"

৪ শিক্ষার্থীকে পিটিয়ে মারাত্মক জখম ছাত্রলীগের, যা ঘটেছিল সে রাতে
",জাতীয়,,,
"

বিএনপি-জামায়াত দেশে আবারো আগুন সন্ত্রাস শুরু করেছে : ওবায়দুল কাদের
",জাতীয়,,,
পশ্চিমাদের আনুকূল্য ছাড়া অচল শি জিনপিং: রিপোর্ট,আন্তর্জাতিক,,,
"

তুরস্কের ভূমিকম্প : ধ্বংসস্তূপের নিচ থেকে যেভাবে উদ্ধার করা হলো দু’বোনকে
",আন্তর্জাতিক,,,
"

ফ্রান্স জুড়ে বিক্ষোভ করেছে হাজার হাজার মানুষ
",আন্তর্জাতিক,,,
"এবার কানাডার আকাশে 'রহস্যময় বস্তু', গুলির নির্দেশ!",আন্তর্জাতিক,,,
"

গলাচিপায় ৫ দোকান পুড়ে ছাই, ২ কোটি টাকার ক্ষতি
",জাতীয়,,,
"

ভারতে ‘আপনি-তুই’ সম্বোধন নিয়ে সামাজিক যোগাযোগমাধ্যমে শোরগোল
",আন্তর্জাতিক,,,
"

তুরস্ক ও সিরিয়ায় ভূমিকম্প : নিহতের সংখ্যা ৩৪ হাজার ছাড়াল
",আন্তর্জাতিক,,,
রাষ্ট্রপতি হিসেবে আওয়ামী লীগের মনোনয়ন পেয়েছেন সাহাবুদ্দিন চুপ্পু,আর্কাইভ,,,
ফিডার রোড চালু হলে বদলে যাবে চট্টগ্রাম নগরী (ভিডিও),আর্কাইভ,,,
জাতীয় বিজ্ঞান অলিম্পিয়াড ২০২৩’র পুরস্কার বিতরণ,আর্কাইভ,,,
ছোট্ট ঘর থেকে জ্ঞানের আলো ছড়াচ্ছে দশ হাজার বই,আর্কাইভ,,,
ইসলামী ব্যাংকের গ্রাহক সেবা ক্যাম্পেইন শুরু,আর্কাইভ,,,
সুপারব্র্যান্ড অ্যাওয়ার্ড পেল ‘ফ্রেন্ডশিপ’,আর্কাইভ,,,
অবসরের বয়সসীমা: ফ্রান্সে পুলিশের সঙ্গে আন্দোলনকারীদের সংঘর্ষ,আন্তর্জাতিক,,,
বিএনপি-জামায়াতের সন্ত্রাস-নৈরাজ্য প্রতিহত করা হবে: আমিনুল ইসলাম,আর্কাইভ,,,
"ভূমিকম্পে নিহত ২৮ হাজার, ধ্বংসস্তূপের নিচে বহু মানুষ",আর্কাইভ,,,
পঞ্চমবার ক্লাব বিশ্বকাপ শিরোপা জিতলো রিয়াল মাদ্রিদ,আর্কাইভ,,,
গ্লোবাল ইসলামী ব্যাংকের ছয়টি উপশাখার উদ্বোধন,আর্কাইভ,,,
"কানাডার আকাশেও রহস্যময় বস্তু, গুলিতে ভূপাতিত",আর্কাইভ,,,
নেপাল-ভুটানসহ পাঁচ দেশে চালু হলো ভারতের ফোনপি,আর্কাইভ,,,
"শিক্ষককে লাঞ্চিত করলেন ইউপি চেয়ারম্যান, প্রতিবাদে মানববন্ধন",আর্কাইভ,,,
তুরস্ক ও সিরিয়ায় ভূমিকম্পে মৃতের সংখ্যা ৫০ হাজার ছাড়াবে: জাতিসংঘ,আর্কাইভ,,,
কুমিল্লায় বিপুল পরিমাণ গাঁজা-বিদেশি মদসহ আটক ২,জাতীয়,,,
নারীদের বিজ্ঞানে উৎকর্ষ লাভের সুযোগ দিতে বৈশ্বিক প্রচেষ্টার আহ্বান জানালেন প্রধানমন্ত্রী,আর্কাইভ,,,
"ভূমিকম্প: মৃতের সংখ্যা ২৮ হাজার ছাড়িয়েছে, তুরস্কে অস্থিরতায় উদ্ধার ব্যাহত",আন্তর্জাতিক,,,
টি-২০ বিশ্বকাপে সেমিফাইনাল খেলার স্বপ্ন জ্যােতির,আর্কাইভ,,,
নাইজারে সন্ত্রাসী হামলায় ১০ সেনা নিহত,আন্তর্জাতিক,,,
ভূমিকম্পের দেড়শ ঘণ্টা পর ধ্বংসস্তূপ থেকে উদ্ধার অনেকে,আন্তর্জাতিক,,,
সম্পত্তির লোভে মুক্তিযোদ্ধা বাবাকে হত্যা করেন ছেলে,জাতীয়,,,
"ভূমিকম্পে বিপর্যস্ত তুরস্কে শীতের কাপড়, খাদ্য ও ওষুধ পাঠাবে ডিএনসিসি",জাতীয়,,,
নওগাঁয় বিএনপির পদযাত্রা ঘিরে সংঘর্ষের ঘটনায় ৩০ নেতা-কর্মীর নামে মামলা,জাতীয়,,,
