title,weight,rank,S_scale,S_score
Coleman wins 60m crown at Millrose Games after Lyles DQ,0.0183452139123269,1.0,1.0000000000000002,20.000000000000004
"সাত্তার ভূঁইয়া জীবনের শেষে এসে বুঝতে পেরেছেন, বাংলাদেশের উন্নয়ন আওয়ামী লীগ দিয়েই হয়: আইনমন্ত্রী",0.018126112504095602,2.0,0.9859779877425442,19.719559754850884
নারীদের বিজ্ঞানে উৎকর্ষ লাভের সুযোগ দিতে বৈশ্বিক প্রচেষ্টার আহ্বান জানালেন প্রধানমন্ত্রী,0.0168618008381953,3.0,0.9050647986416175,18.10129597283235
নওগাঁয় বিএনপির পদযাত্রা ঘিরে সংঘর্ষের ঘটনায় ৩০ নেতা-কর্মীর নামে মামলা,0.0162786136454229,4.0,0.8677420902598748,17.354841805197495
"ভূমিকম্পে বিপর্যস্ত তুরস্কে শীতের কাপড়, খাদ্য ও ওষুধ পাঠাবে ডিএনসিসি",0.016145790960639998,5.0,0.8592417281256072,17.184834562512144
৫০ তালগাছে কীটনাশক প্রয়োগ: পরবর্তী শুনানি ও আদেশ ২৩ ফেব্রুয়ারি,0.0156010179173491,6.0,0.8243774415278121,16.487548830556243
Two PWs testify in actor Sohel Chowdhury murder case,0.0155379983199873,7.0,0.820344324745038,16.40688649490076
"ভূমিকম্প: মৃতের সংখ্যা ২৮ হাজার ছাড়িয়েছে, তুরস্কে অস্থিরতায় উদ্ধার ব্যাহত",0.015145922099110299,8.0,0.7952523017435678,15.905046034871354
জ্ঞান অর্জনের জন্য প্রয়োজনে সুদূর চীনে যাও... যাবেন কীভাবে?,0.0151399116059229,9.0,0.7948676432887116,15.897352865774232
Cyprus rivals woo swing voters in presidential run-off,0.0150443731438626,10.0,0.7887533900902394,15.775067801804788
রাষ্ট্রপতি পদের মনোনয়নপত্র নিয়ে নির্বাচন ভবনে আওয়ামী লীগের প্রতিনিধি দল,0.0149118316725049,11.0,0.7802710250018463,15.605420500036926
আওয়ামী লীগ দিশাহারা হয়ে বিশৃঙ্খলা করতে পাল্টা কর্মসূচি দিচ্ছে: বিএনপি,0.014700641397635201,12.0,0.7667553080250197,15.335106160500393
মোহাম্মদ সাহাবুদ্দিনকে ‘মন থেকে’ অভিনন্দন জানালেন জি এম কাদের,0.0140791408595945,13.0,0.7269806291091166,14.539612582182333
"

৪ শিক্ষার্থীকে পিটিয়ে মারাত্মক জখম ছাত্রলীগের, যা ঘটেছিল সে রাতে
",0.0140584297476641,14.0,0.7256551631173735,14.513103262347471
বিমানবন্দর থানা এলাকা থেকে ৫ কেজি গাঁজাসহ গ্রেফতার ২,0.013916406776743698,15.0,0.7165660027365153,14.331320054730305
"মোহাম্মদ সাহাবুদ্দিন: ছাত্ররাজনীতিক থেকে বিচারক, দুদকের কমিশনার, তারপর রাষ্ট্রপতি পদে",0.0135918930710408,16.0,0.6957978333495125,13.915956666990251
"

বিএনপি-জামায়াত দেশে আবারো আগুন সন্ত্রাস শুরু করেছে : ওবায়দুল কাদের
",0.013521261587138,17.0,0.6912775724299577,13.825551448599153
"

গলাচিপায় ৫ দোকান পুড়ে ছাই, ২ কোটি টাকার ক্ষতি
",0.0135078163051322,18.0,0.6904171037063096,13.808342074126191
কুমিল্লায় বিপুল পরিমাণ গাঁজা-বিদেশি মদসহ আটক ২,0.013410375900863102,19.0,0.6841811303546899,13.683622607093797
তুরস্ক ও সিরিয়ায় ভূমিকম্পে মৃতের সংখ্যা ৫০ হাজার ছাড়াবে: জাতিসংঘ,0.0133588364985695,20.0,0.6808827210174943,13.617654420349885
রাষ্ট্রপতি হিসেবে আওয়ামী লীগের মনোনয়ন পেয়েছেন সাহাবুদ্দিন চুপ্পু,0.013213493729036,21.0,0.6715811007660175,13.43162201532035
রাজধানীতে হত্যা ও অপহরণ মামলায় দুই পলাতক আসামি গ্রেপ্তার,0.0124773946231853,22.0,0.6244723634545502,12.489447269091002
পশ্চিমাদের আনুকূল্য ছাড়া অচল শি জিনপিং: রিপোর্ট,0.012271553287231798,23.0,0.6112989669021004,12.225979338042007
‘কাঁঠালবাড়ীতে আন্তর্জাতিক মানের বঙ্গবন্ধু কনভেনশন সেন্টার নির্মাণ করা হবে’,0.0120890368752839,24.0,0.5996183146133731,11.992366292267462
"

তুরস্কের ভূমিকম্প : ধ্বংসস্তূপের নিচ থেকে যেভাবে উদ্ধার করা হলো দু’বোনকে
",0.0119199814113205,25.0,0.5887991336367624,11.775982672735248
"

 একবার  ধর  বললে  চৌদ্দগোষ্ঠীর কেউ থাকতে পারবে  না : শামীম ওসমান 
",0.011857413083918798,26.0,0.5847948971471959,11.695897942943919
পুলিশের বীরত্বে দুর্বার গতিতে এগিয়ে যাচ্ছে দেশ: স্বরাষ্ট্রমন্ত্রী,0.0117703781162816,27.0,0.5792248490453247,11.584496980906493
"

তুরস্ক ও সিরিয়ায় ভূমিকম্প : নিহতের সংখ্যা ৩৪ হাজার ছাড়াল
",0.011723916202402901,28.0,0.5762513878924679,11.525027757849358
ছোট্ট ঘর থেকে জ্ঞানের আলো ছড়াচ্ছে দশ হাজার বই,0.0116984777967062,29.0,0.5746233854101073,11.492467708202145
পঞ্চমবার ক্লাব বিশ্বকাপ শিরোপা জিতলো রিয়াল মাদ্রিদ,0.011671653836971501,30.0,0.5729067104912661,11.458134209825321
"

বরিশালের বিপক্ষে ১৭১ রান করলেই কোয়ালিফায়ারে রংপুর
",0.0114533699523651,31.0,0.5589370179627504,11.17874035925501
বিএনপি-জামায়াতের সন্ত্রাস-নৈরাজ্য প্রতিহত করা হবে: আমিনুল ইসলাম,0.0114302403211697,32.0,0.5574567720129391,11.149135440258782
"আমরা জনগণের শান্তির জন্য রাজপথে থাকি, শান্তি সমাবেশ করি: শেখ পরশ",0.0113326934239258,33.0,0.5512139833431976,11.024279666863952
জবির সংগঠনগুলোকে সাংস্কৃতিক চর্চা বাড়াতে হবে: উপাচার্য,0.0109375836796164,34.0,0.5259278214582955,10.51855642916591
জাবিতে গেস্টরুমে ৫ শিক্ষার্থীকে মারধর করল দুই ছাত্রলীগ,0.0109019407873364,35.0,0.5236467540910162,10.472935081820324
সম্পত্তির লোভে মুক্তিযোদ্ধা বাবাকে হত্যা করেন ছেলে,0.0108207535477364,36.0,0.5184509478293859,10.36901895658772
"

আসিয়ান থেকে মিয়ানমারকে বাদ  দেয়া উচিত : আনোয়ার ইব্রাহিম
",0.0107201285732646,37.0,0.5120111689304742,10.240223378609484
"ভূমিকম্পেও থেমে নেই লুটপাট, তুরস্কে গ্রেফতার ৪৮",0.0106890085273919,38.0,0.5100195538687448,10.200391077374896
"

আড়াইহাজারে সংঘর্ষের ঘটনায় বিএনপির ১২০ নেতাকর্মীর নামে মামলা
",0.0104980795217091,39.0,0.497800513929203,9.95601027858406
প্লে-অফ পর্বে দাম বাড়লো টিকিটের,0.0104018821391091,40.0,0.4916440912533232,9.832881825066464
নাইজারে সন্ত্রাসী হামলায় ১০ সেনা নিহত,0.0102930520283981,41.0,0.4846792015308484,9.693584030616968
"ওদের উদ্দেশ্য অসৎ, আমি মানসিকভাবে ভেঙে পড়েছি: প্রভা",0.0102887094576249,42.0,0.4844012864726923,9.688025729453846
ইরানি তরুণীকে ধর্ষণের অভিযোগ রাখির স্বামীর বিরুদ্ধে,0.0102785277536967,43.0,0.4837496796280102,9.674993592560204
১২ দাবিতে ইডেন কলেজ ছাত্রলীগের স্মারকলিপি,0.0102740674596932,44.0,0.4834642305398742,9.669284610797483
টি-২০ বিশ্বকাপে সেমিফাইনাল খেলার স্বপ্ন জ্যােতির,0.0101934878663086,45.0,0.47830731231072776,9.566146246214554
মির্জা ফখরুলকে পাকিস্তান চলে যেতে বললেন বঙ্গবীর কাদের সিদ্দিকী,0.0101627050018696,46.0,0.47633727612534815,9.526745522506964
ভারতের ৫৪ এলিজিবল ব্যাচেলরের নাম প্রকাশ,0.010100504272405799,47.0,0.4723565651020608,9.447131302041216
"

ভারতে ‘আপনি-তুই’ সম্বোধন নিয়ে সামাজিক যোগাযোগমাধ্যমে শোরগোল
",0.0100875019841923,48.0,0.471524447014932,9.430488940298641
২৪ ঘণ্টায় ডেঙ্গু নিয়ে হাসপাতালে ভর্তি ১৪,0.010084559966558899,49.0,0.471336164303058,9.426723286061161
President of Iran to visit China,0.010039068622408,50.0,0.46842481749592724,9.368496349918544
জাতীয় বিজ্ঞান অলিম্পিয়াড ২০২৩’র পুরস্কার বিতরণ,0.010035062553016401,51.0,0.46816843779227,9.3633687558454
