id,title,body_len,T3_rank,T3_S_scale,T3_S_score
19648628,"

হিরোর হিরোইজমের পূর্বাপর
",1285,1.0,1.0,20.0
19649235,"

তুরস্কের ভূমিকম্প : ধ্বংসস্তূপের নিচ থেকে যেভাবে উদ্ধার করা হলো দু’বোনকে
",1023,2.0,0.789049919484702,15.780998389694041
19649219,"

৪ শিক্ষার্থীকে পিটিয়ে মারাত্মক জখম ছাত্রলীগের, যা ঘটেছিল সে রাতে
",920,3.0,0.7061191626409018,14.122383252818036
19649230,"

ভারতে ‘আপনি-তুই’ সম্বোধন নিয়ে সামাজিক যোগাযোগমাধ্যমে শোরগোল
",669,4.0,0.5040257648953301,10.080515297906603
18483732,জাবিতে গেস্টরুমে ৫ শিক্ষার্থীকে মারধর করল দুই ছাত্রলীগ,647,5.0,0.4863123993558776,9.726247987117553
13482695,Cyprus rivals woo swing voters in presidential run-off,633,6.0,0.4750402576489533,9.500805152979066
19189117,রাষ্ট্রপতি হিসেবে আওয়ামী লীগের মনোনয়ন পেয়েছেন সাহাবুদ্দিন চুপ্পু,599,7.0,0.4476650563607085,8.953301127214171
13485533,আরেকটু সময় না পাওয়ার আক্ষেপ শামীমের,598,8.0,0.4468599033816425,8.937198067632849
13482704,Coleman wins 60m crown at Millrose Games after Lyles DQ,594,9.0,0.44363929146537845,8.872785829307569
18487366,"আমরা জনগণের শান্তির জন্য রাজপথে থাকি, শান্তি সমাবেশ করি: শেখ পরশ",583,10.0,0.43478260869565216,8.695652173913043
15377859,আওয়ামী লীগ দিশাহারা হয়ে বিশৃঙ্খলা করতে পাল্টা কর্মসূচি দিচ্ছে: বিএনপি,551,11.0,0.40901771336553944,8.180354267310788
16265903,জ্ঞান অর্জনের জন্য প্রয়োজনে সুদূর চীনে যাও... যাবেন কীভাবে?,542,12.0,0.40177133655394526,8.035426731078905
18441475,৫০ তালগাছে কীটনাশক প্রয়োগ: পরবর্তী শুনানি ও আদেশ ২৩ ফেব্রুয়ারি,533,13.0,0.394524959742351,7.8904991948470204
18483690,চোখের সমস্যায় ভুগছেন ঢাকার ২৪ শতাংশ মানুষ,502,14.0,0.3695652173913043,7.391304347826086
19649229,"

তুরস্ক ও সিরিয়ায় ভূমিকম্প : নিহতের সংখ্যা ৩৪ হাজার ছাড়াল
",460,15.0,0.3357487922705314,6.714975845410628
18441398,লালমাই পাহাড় কাটা বিরত রাখার নির্দেশ হাইকোর্টের,439,16.0,0.3188405797101449,6.3768115942028984
17376804,ফিট থাকতে কী খাবেন?,362,17.0,0.25684380032206117,5.1368760064412236
19189126,নারীদের বিজ্ঞানে উৎকর্ষ লাভের সুযোগ দিতে বৈশ্বিক প্রচেষ্টার আহ্বান জানালেন প্রধানমন্ত্রী,354,18.0,0.250402576489533,5.00805152979066
19189122,পঞ্চমবার ক্লাব বিশ্বকাপ শিরোপা জিতলো রিয়াল মাদ্রিদ,346,19.0,0.24396135265700483,4.879227053140097
18483856,মোস্তাফিজুর রহমান ফিজারই তাহলে পরবর্তী রাষ্ট্রপতি?,343,20.0,0.24154589371980675,4.830917874396135
14782249,সহপাঠীদের ক্লাস বর্জন,343,20.0,0.24154589371980675,4.830917874396135
18483801,"ভূমিকম্প: মৃতের সংখ্যা ২৮ হাজার ছাড়িয়েছে, তুরস্কে অস্থিরতায় উদ্ধার ব্যাহত",342,22.0,0.24074074074074073,4.814814814814815
18483723,জবির সংগঠনগুলোকে সাংস্কৃতিক চর্চা বাড়াতে হবে: উপাচার্য,336,23.0,0.2359098228663446,4.718196457326892
14784110,পুলিশের বীরত্বে দুর্বার গতিতে এগিয়ে যাচ্ছে দেশ: স্বরাষ্ট্রমন্ত্রী,334,24.0,0.23429951690821257,4.685990338164252
16318941,বিএনপি-জামায়াতের সন্ত্রাস-নৈরাজ্য প্রতিহত করা হবে: আমিনুল ইসলাম,333,25.0,0.23349436392914655,4.669887278582931
15353761,"ভূমিকম্পে বিপর্যস্ত তুরস্কে শীতের কাপড়, খাদ্য ও ওষুধ পাঠাবে ডিএনসিসি",332,26.0,0.23268921095008052,4.6537842190016105
18483666,রাজধানীতে হত্যা ও অপহরণ মামলায় দুই পলাতক আসামি গ্রেপ্তার,329,27.0,0.23027375201288244,4.605475040257649
15377845,"সাত্তার ভূঁইয়া জীবনের শেষে এসে বুঝতে পেরেছেন, বাংলাদেশের উন্নয়ন আওয়ামী লীগ দিয়েই হয়: আইনমন্ত্রী",325,28.0,0.22705314009661837,4.541062801932368
17332846,আজ মুখোমুখি হচ্ছে চিরপ্রতিদ্বন্দ্বী ভারত-পাকিস্তান,322,29.0,0.2246376811594203,4.492753623188406
19570612,মির্জা ফখরুলকে পাকিস্তান চলে যেতে বললেন বঙ্গবীর কাদের সিদ্দিকী,318,30.0,0.2214170692431562,4.428341384863124
18483725,১২ দাবিতে ইডেন কলেজ ছাত্রলীগের স্মারকলিপি,316,31.0,0.21980676328502416,4.396135265700483
16318933,ফিডার রোড চালু হলে বদলে যাবে চট্টগ্রাম নগরী (ভিডিও),294,32.0,0.20209339774557167,4.041867954911433
13485582,নওগাঁয় বিএনপির পদযাত্রা ঘিরে সংঘর্ষের ঘটনায় ৩০ নেতা-কর্মীর নামে মামলা,294,32.0,0.20209339774557167,4.041867954911433
17375674,‘মলম বিতর্ক’ শাস্তি হলো ভারতীয় তারকার,293,34.0,0.20128824476650564,4.025764895330113
17104410,হোটেল রিল্যাক্সে পূর্ণিমা,286,35.0,0.1956521739130435,3.9130434782608696
19649142,"

ফ্রান্স জুড়ে বিক্ষোভ করেছে হাজার হাজার মানুষ
",277,36.0,0.18840579710144928,3.7681159420289854
16318936,ইসলামী ব্যাংকের গ্রাহক সেবা ক্যাম্পেইন শুরু,276,37.0,0.18760064412238325,3.752012882447665
18483763,ইসলামী ব্যাংকের গ্রাহক সেবা ক্যাম্পেইন শুরু,275,38.0,0.18679549114331723,3.7359098228663443
17380096,জবিতে নতুন তিন বিভাগের অনুমোদন,267,39.0,0.18035426731078905,3.607085346215781
13485564,সম্পত্তির লোভে মুক্তিযোদ্ধা বাবাকে হত্যা করেন ছেলে,266,40.0,0.17954911433172302,3.5909822866344605
17380041,অপহরণে অভিযুক্ত সেই অসিত পালকে বহিষ্কার করল ছাত্রলীগ,259,41.0,0.17391304347826086,3.4782608695652173
19728732,"

আসিয়ান থেকে মিয়ানমারকে বাদ  দেয়া উচিত : আনোয়ার ইব্রাহিম
",257,42.0,0.1723027375201288,3.4460547504025762
18483710,ফরচুন বরিশালকে বিদায় করে কোয়ালিফায়ারে রংপুর,254,43.0,0.16988727858293076,3.397745571658615
18483853,রাষ্ট্রপতি পদের মনোনয়নপত্র নিয়ে নির্বাচন ভবনে আওয়ামী লীগের প্রতিনিধি দল,253,44.0,0.16908212560386474,3.3816425120772946
19649169,"

বরিশালের বিপক্ষে ১৭১ রান করলেই কোয়ালিফায়ারে রংপুর
",253,44.0,0.16908212560386474,3.3816425120772946
19649208,"

বিএনপি-জামায়াত দেশে আবারো আগুন সন্ত্রাস শুরু করেছে : ওবায়দুল কাদের
",252,46.0,0.1682769726247987,3.365539452495974
14782267,‘কাঁঠালবাড়ীতে আন্তর্জাতিক মানের বঙ্গবন্ধু কনভেনশন সেন্টার নির্মাণ করা হবে’,249,47.0,0.16586151368760063,3.3172302737520125
18483806,অবসরের বয়সসীমা: ফ্রান্সে পুলিশের সঙ্গে আন্দোলনকারীদের সংঘর্ষ,248,48.0,0.16505636070853463,3.301127214170693
19649166,"

হৃদয় ছুঁয়ে যাওয়া আজারবাইজানের সেই যুবকের গল্প
",246,49.0,0.16344605475040258,3.268921095008052
15377860,"মোহাম্মদ সাহাবুদ্দিন: ছাত্ররাজনীতিক থেকে বিচারক, দুদকের কমিশনার, তারপর রাষ্ট্রপতি পদে",245,50.0,0.16264090177133655,3.2528180354267313
17332784,"ফের বিয়ে করবেন হার্দিক পান্ডিয়া, পাত্রী কে?",244,51.0,0.16183574879227053,3.236714975845411
17127731,ছাত্রলীগের ২১ নেতাকর্মী বহিষ্কার,242,52.0,0.16022544283413848,3.2045088566827697
13484532,Two PWs testify in actor Sohel Chowdhury murder case,237,53.0,0.15619967793880837,3.1239935587761676
19649162,"

পদযাত্রা কর্মসূচিতে অংশ নিতে জড়ো হচ্ছেন বিএনপি নেতাকর্মীরা
",235,54.0,0.15458937198067632,3.0917874396135265
17104425,"ওদের উদ্দেশ্য অসৎ, আমি মানসিকভাবে ভেঙে পড়েছি: প্রভা",228,55.0,0.14895330112721417,2.9790660225442833
17390912,"ভূমিকম্পেও থেমে নেই লুটপাট, তুরস্কে গ্রেফতার ৪৮",226,56.0,0.1473429951690821,2.9468599033816423
18481841,ঢাকায় লেবানন ভিসা আবেদন কেন্দ্র চালু,225,57.0,0.14653784219001612,2.930756843800322
14782286,প্লে-অফ পর্বে দাম বাড়লো টিকিটের,220,58.0,0.14251207729468598,2.8502415458937196
15377946,মোহাম্মদ সাহাবুদ্দিনকে ‘মন থেকে’ অভিনন্দন জানালেন জি এম কাদের,220,58.0,0.14251207729468598,2.8502415458937196
18441481,ভূমিকম্পের দেড়শ ঘণ্টা পর ধ্বংসস্তূপ থেকে উদ্ধার অনেকে,214,60.0,0.13768115942028986,2.753623188405797
16318939,সুপারব্র্যান্ড অ্যাওয়ার্ড পেল ‘ফ্রেন্ডশিপ’,213,61.0,0.13687600644122383,2.7375201288244764
16201505,আগামী নির্বাচনেও নৌকাকে বিজয়ী করতে হবে: মাশরাফি,212,62.0,0.1360708534621578,2.721417069243156
19649182,"

পগবার ফেরা এখনো নিশ্চিত নয়
",211,63.0,0.13526570048309178,2.7053140096618353
17390931,"এবার কানাডার আকাশে 'রহস্যময় বস্তু', গুলির নির্দেশ!",210,64.0,0.13446054750402575,2.689210950080515
13485534,"মাঠ ঠিক নেই, ধর্মশালা থেকে সরে গেল ভারত-অস্ট্রেলিয়া টেস্ট",207,65.0,0.1320450885668277,2.640901771336554
17332762,ভারতীয় দলে পক্ষপাতিত্বের অভিযোগ,205,66.0,0.13043478260869565,2.608695652173913
16295554,"ভূমিকম্পে নিহত ২৮ হাজার, ধ্বংসস্তূপের নিচে বহু মানুষ",204,67.0,0.12962962962962962,2.5925925925925926
16318947,"শিক্ষককে লাঞ্চিত করলেন ইউপি চেয়ারম্যান, প্রতিবাদে মানববন্ধন",197,68.0,0.12399355877616747,2.4798711755233493
19649088,"

পূবালী ব্যাংকের বার্ষিক ব্যবস্থাপক সম্মেলন
",196,69.0,0.12318840579710146,2.4637681159420293
17390909,গুরুত্বপূর্ণ সফরে চীন যাচ্ছেন ইরানের প্রেসিডেন্ট,190,70.0,0.11835748792270531,2.367149758454106
17113004,ইরানি তরুণীকে ধর্ষণের অভিযোগ রাখির স্বামীর বিরুদ্ধে,184,71.0,0.11352657004830918,2.270531400966184
16295561,"কানাডার আকাশেও রহস্যময় বস্তু, গুলিতে ভূপাতিত",182,72.0,0.11191626409017713,2.238325281803543
17168980,হেরোইন ও ট্রাকসহ একজনকে গ্রেফতার করেছে ডিবি,177,73.0,0.10789049919484701,2.1578099838969402
18483693,২৪ ঘণ্টায় ডেঙ্গু নিয়ে হাসপাতালে ভর্তি ১৪,176,74.0,0.107085346215781,2.14170692431562
17380037,ষষ্ঠ ও সপ্তম শ্রেণির সেই দুই বই না পড়ানোর নির্দেশ,175,75.0,0.10628019323671498,2.1256038647342996
16295570,তুরস্ক ও সিরিয়ায় ভূমিকম্পে মৃতের সংখ্যা ৫০ হাজার ছাড়াবে: জাতিসংঘ,170,76.0,0.10225442834138486,2.045088566827697
19189032,টি-২০ বিশ্বকাপে সেমিফাইনাল খেলার স্বপ্ন জ্যােতির,169,77.0,0.10144927536231885,2.028985507246377
16295520,ছোট্ট ঘর থেকে জ্ঞানের আলো ছড়াচ্ছে দশ হাজার বই,166,78.0,0.09903381642512077,1.9806763285024154
17104398,কেন আমির খানকে কটাক্ষ করলেন এই অভিনেত্রী,165,79.0,0.09822866344605476,1.964573268921095
17390901,পশ্চিমাদের আনুকূল্য ছাড়া অচল শি জিনপিং: রিপোর্ট,163,80.0,0.0966183574879227,1.932367149758454
17332797,"ভারত সফরে অস্ট্রেলিয়ার ভরাডুবি, যা বললেন ভন",160,81.0,0.09420289855072464,1.8840579710144927
14782279,‘সাকিবের মতো’ হতে চান লিন্ডে,158,82.0,0.09259259259259259,1.8518518518518516
16318946,নেপাল-ভুটানসহ পাঁচ দেশে চালু হলো ভারতের ফোনপি,156,83.0,0.09098228663446055,1.819645732689211
19649171,"

আড়াইহাজারে সংঘর্ষের ঘটনায় বিএনপির ১২০ নেতাকর্মীর নামে মামলা
",155,84.0,0.09017713365539452,1.8035426731078905
14782228,ভারতের ৫৪ এলিজিবল ব্যাচেলরের নাম প্রকাশ,150,85.0,0.0861513687600644,1.7230273752012881
17104421,দক্ষিণ আফ্রিকায় র‌্যাপ সংগীতশিল্পীকে গুলি করে হত্যা,137,86.0,0.07568438003220612,1.5136876006441224
19728745,"

গলাচিপায় ৫ দোকান পুড়ে ছাই, ২ কোটি টাকার ক্ষতি
",133,87.0,0.07246376811594203,1.4492753623188406
